name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Dier,TOT,DEF,5.2,Available,1284,50,1,3.3,8.9
Lucas Moura,TOT,MID,5.8,Available,93,8,0,1.0,0.2
Davies,TOT,DEF,4.9,Available,994,48,0,4.0,1.2
Højbjerg,TOT,MID,5.5,Available,1244,58,6,4.1,2.4
Winks,TOT,MID,4.4,NotAvail,0,0,0,0.0,0.7
Sánchez,TOT,DEF,4.3,Available,527,19,1,1.9,0.6
R.Sessegnon,TOT,DEF,4.5,Doubtful,658,31,0,2.6,0.9
Bergwijn,TOT,MID,5.5,NotAvail,0,0,0,0.0,0.0
Reguilón,TOT,DEF,4.2,NotAvail,0,0,0,0.0,0.4
Tanganga,TOT,DEF,3.9,Available,0,0,0,0.0,2.9
Bentancur,TOT,MID,5.4,Suspended,1183,59,7,4.2,0.5
Skipp,TOT,MID,4.3,Available,128,6,0,1.0,0.1
Rodon,TOT,DEF,4.0,NotAvail,0,0,0,0.0,0.0
Romero,TOT,DEF,4.9,Available,657,21,2,2.6,1.3
Bissouma,TOT,MID,4.7,Available,598,17,0,1.2,0.3
Emerson Royal,TOT,DEF,4.9,Available,898,27,1,2.2,1.9
Kulusevski,TOT,MID,8.0,Available,609,41,3,4.6,4.7
Scarlett,TOT,FWD,4.5,NotAvail,0,0,0,0.0,0.0
Perišić,TOT,DEF,5.5,Available,827,45,5,3.0,21.7
White,TOT,MID,4.4,Available,0,0,0,0.0,0.4
Sarr,TOT,MID,4.3,Available,0,0,0,0.0,0.6
Austin,TOT,GKP,3.9,Available,0,0,0,0.0,0.3
Devine,TOT,MID,4.3,Available,0,0,0,0.0,0.1
Parrott,TOT,FWD,4.5,NotAvail,0,0,0,0.0,0.1
Richarlison,TOT,FWD,8.4,Available,434,21,1,2.1,0.7
Lenglet,TOT,DEF,4.8,Available,570,12,1,1.5,0.3
Spence,TOT,DEF,4.1,Available,3,3,0,1.0,0.2
Bryan,TOT,MID,5.0,Available,6,1,0,1.0,0.0
Fabianski,WHU,GKP,5.0,Available,1243,59,7,3.9,1.3
Ogbonna,WHU,DEF,4.4,Available,25,2,0,1.0,0.1
Cresswell,WHU,DEF,4.8,Available,1241,37,3,2.6,2.5
Antonio,WHU,FWD,7.0,Available,602,32,3,2.3,1.6
Dawson,WHU,DEF,4.8,Available,450,13,0,2.6,0.2
Lanzini,WHU,MID,5.1,Available,121,5,0,1.0,0.1
Zouma,WHU,DEF,4.5,Available,1184,47,6,3.4,2.1
Masuaku,WHU,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Coufal,WHU,DEF,4.1,Available,683,20,0,2.2,0.7
Benrahma,WHU,MID,5.6,Available,745,34,0,2.6,0.9
Bowen,WHU,MID,8.0,Available,1341,47,3,3.1,3.0
Vlasic,WHU,MID,5.0,NotAvail,0,0,0,0.0,0.0
Rice,WHU,MID,4.8,Available,1350,45,5,3.0,3.7
Soucek,WHU,MID,5.2,Available,1307,43,3,2.9,0.8
Fornals,WHU,MID,5.0,Available,776,32,3,2.3,0.5
Johnson,WHU,DEF,4.4,Available,487,16,1,2.3,0.1
Aguerd,WHU,DEF,4.8,Available,75,2,0,2.0,0.1
Areola,WHU,GKP,4.3,Available,106,2,0,1.0,1.0
Downes,WHU,MID,4.3,Available,264,10,0,1.7,0.4
Scamacca,WHU,FWD,6.7,Available,750,30,5,2.3,1.7
Emerson,WHU,DEF,4.0,Available,221,6,0,0.9,1.7
Ashby,WHU,DEF,3.9,Available,0,0,0,0.0,0.4
Coventry,WHU,MID,4.4,Available,1,1,0,1.0,0.1
Randolph,WHU,GKP,4.0,Available,0,0,0,0.0,0.1
Oko-Flex,WHU,MID,4.4,NotAvail,0,0,0,0.0,0.0
Cornet,WHU,MID,5.9,Doubtful,85,5,0,1.0,0.1
Kehrer,WHU,DEF,4.5,Available,1170,33,2,2.5,0.3
Paquetá,WHU,MID,5.9,Available,588,23,3,2.9,0.5
Jiménez,WOL,FWD,6.8,Available,211,5,0,1.7,0.2
Jonny,WOL,DEF,4.4,Doubtful,979,31,0,2.6,0.6
Sá,WOL,GKP,5.0,Available,1350,61,6,4.1,5.8
Neves,WOL,MID,5.5,Available,1260,56,10,4.0,1.7
Hwang,WOL,MID,5.7,Available,317,16,0,1.5,0.1
Semedo,WOL,DEF,5.0,Available,675,13,1,1.0,0.3
Podence,WOL,MID,5.3,Available,1017,44,6,2.9,0.8
Kilman,WOL,DEF,4.4,Available,1350,41,4,2.7,2.2
Cundle,WOL,MID,4.4,NotAvail,0,0,0,0.0,0.2
Neto,WOL,MID,4.9,Injured,600,18,0,2.2,1.9
Aït-Nouri,WOL,DEF,4.2,Available,664,23,0,2.3,0.9
Fabio Silva,WOL,FWD,5.5,NotAvail,0,0,0,0.0,0.0
Toti,WOL,DEF,3.9,Available,259,8,1,2.7,1.5
Chiquinho,WOL,MID,5.0,Injured,0,0,0,0.0,0.0
Adama,WOL,MID,5.5,Available,615,27,0,2.2,0.3
Šarkić,WOL,GKP,3.9,Available,0,0,0,0.0,1.9
Mosquera,WOL,DEF,3.9,Available,0,0,0,0.0,1.2
Moutinho,WOL,MID,4.7,Available,996,24,0,1.8,0.4
Collins,WOL,DEF,4.4,Available,1022,29,6,2.4,0.7
Smith,WOL,GKP,3.9,Available,0,0,0,0.0,0.8
Bueno,WOL,DEF,3.9,Available,451,10,2,1.7,2.5
Hodge,WOL,MID,4.4,Available,78,2,0,0.7,0.0
Ronan,WOL,MID,4.4,Available,1,1,0,1.0,0.1
Campbell,WOL,MID,4.4,Available,68,5,0,1.0,0.4
Guedes,WOL,MID,5.9,Available,686,28,1,2.3,0.2
Matheus,WOL,MID,4.8,Available,858,29,3,2.4,0.1
Kalajdžić,WOL,FWD,5.3,Injured,45,1,0,1.0,0.0
Diego Costa,WOL,FWD,5.5,Available,412,7,0,1.2,0.3
Traoré,WOL,MID,4.5,Available,380,12,0,1.5,0.1
Fraser,WOL,FWD,4.5,Available,0,0,0,0.0,0.0
Griffiths,WOL,MID,4.5,Available,0,0,0,0.0,0.0
Lembikisa,WOL,DEF,4.0,Available,22,1,0,1.0,0.0
